title,url,year,mileage,engine_capacity,fuel_type,price,currency,city,region
Renault Kadjar,https://www.otomoto.pl/oferta/renault-kadjar-intense-energy-panorama-aut-bose-1-2-tce-130km-ID6AwWfV.html#056c45a62b,2017 ,12 729 km,1 200 cm3,Benzyna,73 900,PLN,Tenczynek,(Małopolskie)
Kia Venga,https://www.otomoto.pl/oferta/kia-venga-1-6-125km-at-l-bl-salon-polska-aso-bezwypadkowy-ID6DfNVe.html#056c45a62b,2019 ,18 634 km,1 591 cm3,Benzyna,62 900,PLN,Warszawa,(Mazowieckie)
Ford Mondeo,https://www.otomoto.pl/oferta/ford-mondeo-led-grzane-fotele-czujniki-gwarancja-bezwypadekowy-serwis-top-ID6DrSiY.html#056c45a62b,2011 ,140 700 km,1 596 cm3,Benzyna,32 999,PLN,Kąty Opolskie,(Opolskie)
Ford Focus 1.5,https://www.otomoto.pl/oferta/ford-focus-ford-focus-1-5-tdci-trend-gold-x-pl-salon-stan-jak-nowy-ID6DwqLn.html#056c45a62b,2017 ,68 000 km,1 498 cm3,Diesel,39 900,PLN,Nysa,(Opolskie)
Opel Astra IV,https://www.otomoto.pl/oferta/opel-astra-1-4-t-cosmo-sport-skory-navi-dvd-oryginalny-lakier-meeega-stan-ID6Dw9A0.html#056c45a62b,2011 ,200 000 km,1 364 cm3,Benzyna,27 900,PLN,Żyrardów,(Mazowieckie)
BMW X7,https://www.otomoto.pl/oferta/bmw-x7-bmw-x7-xdrive40i-ID6DbU4T.html#056c45a62b,2020 ,5 km,2 998 cm3,Benzyna,469 000,PLN,Łódź,(Łódzkie)
Volkswagen Touran,https://www.otomoto.pl/oferta/volkswagen-touran-cross-climatronic-tempomat-czujniki-gwarancja-bezwypadek-serwis-ID6DiRVU.html#056c45a62b,2009 ,155 700 km,1 896 cm3,Diesel,35 499,PLN,Kąty Opolskie,(Opolskie)
Volkswagen Arteon,https://www.otomoto.pl/oferta/volkswagen-arteon-demo-nowy-arteon-fl-elegance-2-0-tsi-190-km-dsg-ID6Dj9z8.html#056c45a62b,2020 ,2 200 km,1 984 cm3,Benzyna,170 400,PLN,Częstochowa,(Śląskie)
Opel Grandland X 1.2,https://www.otomoto.pl/oferta/opel-grandland-x-ultimate-automat-full-kamera-progi-ID6DfxpV.html#056c45a62b,2019 ,6 km,1 199 cm3,Benzyna,119 900,PLN,Krasne,(Podkarpackie)
Toyota Aygo,https://www.otomoto.pl/oferta/toyota-aygo-benzyna-stan-idealny-jak-nowa-z-niemiec-ID6Dvjcp.html#056c45a62b,2009 ,136 000 km,1 000 cm3,Benzyna,10 300,PLN,Brzozów,(Podkarpackie)
Audi Q5 40,https://www.otomoto.pl/oferta/audi-q5-nowy-model-odbior-2020-led-matrix-kamera-cofania-ID6DrNxa.html#056c45a62b,2020 ,10 km,1 968 cm3,Diesel,256 400,PLN,Gdańsk,(Pomorskie)
Opel Astra III,https://www.otomoto.pl/oferta/opel-astra-opel-astra-h-lift-1-6-lpg-100-oryginal-super-stan-ID6Dsaqd.html#056c45a62b,2008 ,180 000 km,1 598 cm3,Benzyna+LPG,14 999,PLN,Niepołomice,(Małopolskie)
Audi Q2 35,https://www.otomoto.pl/oferta/audi-q2-nowy-model-matrix-led-nawigacja-tempomat-ID6DvfPu.html#056c45a62b,2020 ,10 km,1 498 cm3,Benzyna,159 000,PLN,Gdańsk,(Pomorskie)
Audi Q8 50,https://www.otomoto.pl/oferta/audi-q8-bezowa-skora-acc-hak-night-vision-head-up-ID6Dne3Q.html#056c45a62b,2020 ,10 km,2 967 cm3,Diesel,499 900,PLN,Gdańsk,(Pomorskie)
BMW X6 M M50d,https://www.otomoto.pl/oferta/bmw-x6-m-m50d-400-km-ID6DbY5m.html#056c45a62b,2020 ,5 km,2 993 cm3,Diesel,504 600,PLN,Łódź,(Łódzkie)
