title,url,year,mileage,engine_capacity,fuel_type,price,currency,city,region
Volvo S90,https://www.otomoto.pl/oferta/volvo-s90-s90-d4-scr-momentum-pro-aut-dealer-drywa-volvo-vat-23-ID6DjxxG.html#b8aecef359,2019 ,12 203 km,1 969 cm3,Diesel,168 000,PLN,Gdańsk,(Pomorskie)
Volvo XC 40 D3,https://www.otomoto.pl/oferta/volvo-xc-40-d3-awd-momentum-pro-aut-vat-23-ID6Dif3F.html#b8aecef359,2020 ,8 737 km,1 969 cm3,Diesel,151 555,PLN,Gdańsk,(Pomorskie)
Seat Exeo 2.0,https://www.otomoto.pl/oferta/seat-exeo-ID6DwM6W.html#b8aecef359,2010 ,198 000 km,1 968 cm3,Diesel,19 900,PLN,Góra Kalwaria,(Mazowieckie)
Opel Corsa,https://www.otomoto.pl/oferta/opel-corsa-1-2-edition-100km-system-multimedialny-podlokietnik-ID6DvsiR.html#b8aecef359,2020 ,,1 199 cm3,Benzyna,61 599,PLN,Chorzów,(Śląskie)
Audi A8,https://www.otomoto.pl/oferta/audi-a8-balleo-3-ogrz-postojowe-domykanie-drzwi-podgrzewana-kierownica-ID6Dj3EF.html#b8aecef359,2011 ,256 000 km,4 200 cm3,Diesel,89 000,PLN,Korwin,(Wielkopolskie)
BMW Seria 5,https://www.otomoto.pl/oferta/bmw-seria-5-525-d-xdrive-salon-polska-1-wlasciciel-serwis-aso-214-km-4x4-ID6DvsiS.html#b8aecef359,2016 ,115 301 km,1 995 cm3,Diesel,103 001,PLN,Piaseczno,(Mazowieckie)
Opel Corsa,https://www.otomoto.pl/oferta/opel-corsa-salon-polska-ID6DwM5Z.html#b5edf8ab35,2012 ,110 100 km,1 229 cm3,Benzyna,19 500,PLN,Liszki,(Małopolskie)
Fiat Tipo,https://www.otomoto.pl/oferta/fiat-tipo-1-6-16v-salon-polska-1-wlasciciel-serwis-aso-automat-vat-23-ID6DwM6B.html#b5edf8ab35,2018 ,31 016 km,1 598 cm3,Benzyna,52 000,PLN,Katowice,(Śląskie)
Fiat Panda 1.1,https://www.otomoto.pl/oferta/fiat-panda-fiat-panda-1-1-garazowana-bezwypadkowa-2-wlasciciel-ID6DwM6G.html#b5edf8ab35,2005 ,106 000 km,1 108 cm3,Benzyna,5 800,PLN,Warszawa,(Mazowieckie)
Kia Sportage,https://www.otomoto.pl/oferta/kia-sportage-1-6-gdi-salon-polska-1-wlasciciel-vat-23-klimatronic-tempomat-ID6DuDex.html#b5edf8ab35,2020 ,13 416 km,1 591 cm3,Benzyna,83 001,PLN,Kraków,(Małopolskie)
Toyota Yaris,https://www.otomoto.pl/oferta/toyota-yaris-1-5-dual-vvt-i-salon-polska-1-wlasciciel-serwis-aso-vat-23-ID6DuDen.html#b5edf8ab35,2018 ,50 424 km,1 497 cm3,Benzyna,41 000,PLN,Kraków,(Małopolskie)
Hyundai i20,https://www.otomoto.pl/oferta/hyundai-i20-1-2-salon-polska-1-wlasciciel-serwis-aso-vat-23-ID6Dvsi7.html#b5edf8ab35,2019 ,17 700 km,1 248 cm3,Benzyna,39 000,PLN,Piaseczno,(Mazowieckie)
Škoda Octavia,https://www.otomoto.pl/oferta/skoda-octavia-1-4-tsi-salon-polska-1-wlasciciel-serwis-aso-vat-23-ID6Dvsih.html#b5edf8ab35,2017 ,168 518 km,1 395 cm3,Benzyna,37 002,PLN,Piaseczno,(Mazowieckie)
Audi S3 2.0,https://www.otomoto.pl/oferta/audi-s3-2-0-tfsi-300-km-quattro-serwisowany-w-aso-gwarancja-leasing-rata-1747-ID6DvshS.html#b5edf8ab35,2015 ,32 000 km,1 984 cm3,Benzyna,122 877,PLN,Kielce,(Świętokrzyskie)
Audi A3,https://www.otomoto.pl/oferta/audi-a3-limuzyna-1-5-tfsi-150-km-s-tronic-ID6DwM63.html#b5edf8ab35,2017 ,58 394 km,1 498 cm3,Benzyna,104 900,PLN,Kalisz,(Wielkopolskie)
Audi SQ8 TDI,https://www.otomoto.pl/oferta/audi-sq8-audi-sq8-salon-pl-nowy-bezwypadkowy-ID6DwM5H.html#b5edf8ab35,2020 ,1 000 km,3 956 cm3,Diesel,619 000,PLN,Warszawa,(Mazowieckie)
Peugeot 508,https://www.otomoto.pl/oferta/peugeot-508-2-0-hdi-automat-skora-navi-xenon-bi-xenon-klimatronic-tempomat-ID6DvshN.html#b5edf8ab35,2012 ,182 439 km,1 997 cm3,Diesel,32 000,PLN,Piaseczno,(Mazowieckie)
Kia Ceed,https://www.otomoto.pl/oferta/kia-ceed-1-4-cvvt-salon-polska-1-wlasciciel-serwis-aso-vat-23-tempomat-ID6DwM65.html#b5edf8ab35,2019 ,22 500 km,1 368 cm3,Benzyna,59 000,PLN,Katowice,(Śląskie)
Seat Leon SC,https://www.otomoto.pl/oferta/seat-leon-osoba-prywatna-seat-leon-fr-full-led-na-calym-aucie-oryginalny-lakier-ID6DwM5O.html#b5edf8ab35,2013 ,99 500 km,1 395 cm3,Benzyna,37 999,PLN,Sosnowiec,(Śląskie)
Opel Astra,https://www.otomoto.pl/oferta/opel-astra-1-4-t-salon-polska-1-wlasciciel-serwis-aso-navi-klimatronic-ID6DvshT.html#b5edf8ab35,2016 ,49 556 km,1 399 cm3,Benzyna,52 000,PLN,Piaseczno,(Mazowieckie)
Opel Corsa,https://www.otomoto.pl/oferta/opel-corsa-1-0-benzyna-maly-przebieg-klimatyzacja-stan-bdb-ID6Dt9hG.html#b5edf8ab35,2004 ,105 000 km,998 cm3,Benzyna,4 900,PLN,Słupsk,(Pomorskie)
Kia Ceed,https://www.otomoto.pl/oferta/kia-ceed-1-4-cvvt-salon-polska-1-wlasciciel-serwis-aso-vat-23-ID6DwM5R.html#b5edf8ab35,2019 ,26 637 km,1 368 cm3,Benzyna,60 000,PLN,Katowice,(Śląskie)
Audi Q5 2.0,https://www.otomoto.pl/oferta/audi-q5-audi-q5-ful-opcja-niski-przebieg-panorama-skory-ID6DuDcR.html#b5edf8ab35,2011 ,169 100 km,1 968 cm3,Diesel,55 900,PLN,Rumia,(Pomorskie)
Fiat Scudo,https://www.otomoto.pl/oferta/fiat-scudo-panorama-salon-polska-bardzo-ladny-stan-nawiewy-na-tyl-ID6Du33J.html#b5edf8ab35,2011 ,246 000 km,1 997 cm3,Diesel,35 500,PLN,Kędzierzyn-Koźle,(Opolskie)
Ford Kuga,https://www.otomoto.pl/oferta/ford-kuga-escape-182-km-nawigacja-ID6DoURF.html#b5edf8ab35,2014 ,136 800 km,1 596 cm3,Benzyna,44 900,PLN,Łomża,(Podlaskie)
Audi A4,https://www.otomoto.pl/oferta/audi-a4-s-linematrixskoravirtualcocpitelklapakeylessdvdkamera360-ID6DsOu0.html#b5edf8ab35,2017 ,179 000 km,1 968 cm3,Diesel,77 800,PLN,Zalesie Górne,(Mazowieckie)
Kia Ceed,https://www.otomoto.pl/oferta/kia-ceed-1-4-t-gdi-salon-polska-1-wlasciciel-serwis-aso-automat-vat-23-ID6DwM5c.html#b5edf8ab35,2019 ,20 120 km,1 353 cm3,Benzyna,74 000,PLN,Katowice,(Śląskie)
Kia Sportage,https://www.otomoto.pl/oferta/kia-sportage-1-6-gdi-exclusive-1-wlasciciel-serwis-aso-vat-23-navi-ID6Dvshn.html#b5edf8ab35,2019 ,21 071 km,1 591 cm3,Benzyna,82 000,PLN,Piaseczno,(Mazowieckie)
Mazda 3 II,https://www.otomoto.pl/oferta/mazda-3-1-6-stan-idealny-maly-przebieg-ID6DnFPU.html#b5edf8ab35,2012 ,137 000 km,,Diesel,23 500,PLN,Warszawa,(Mazowieckie)
Audi A4 Avant,https://www.otomoto.pl/oferta/audi-a4-3-0tdi-272ps-4x4-skora-navi-matrix-fv23-ID6DuKcp.html#b5edf8ab35,2016 ,189 000 km,2 967 cm3,Diesel,102 900,PLN,Zbytków,(Śląskie)
Toyota Avensis,https://www.otomoto.pl/oferta/toyota-avensis-premium-sedan-2018r-serwisowanypolskisalonfakturavat23-ID6DoBP5.html#b5edf8ab35,2018 ,43 157 km,1 995 cm3,Diesel,79 900,PLN,Gdańsk,(Pomorskie)
Seat Altea 2.0,https://www.otomoto.pl/oferta/seat-altea-2-0tdi-170km-fr-alu-pdc-climatron-mp3-serwis-gwarancjia-ID6Dvsgs.html#b5edf8ab35,2006 ,258 123 km,1 968 cm3,Diesel,14 900,PLN,Zwoleń,(Mazowieckie)
Volvo XC 60 T5,https://www.otomoto.pl/oferta/volvo-xc-60-t5-245km-69-200km-spolonizowany-faktura-ID6DoOoz.html#b5edf8ab35,2015 ,69 200 km,1 969 cm3,Benzyna,77 999,PLN,Koszalin,(Zachodniopomorskie)
Volkswagen Golf V,https://www.otomoto.pl/oferta/volkswagen-golf-1-9tdi-105m-united-climatronic-podgrzewanefotele-czujniki-super-stan-ID6DvsgH.html#b5edf8ab35,2008 ,224 300 km,1 896 cm3,Diesel,16 500,PLN,Rzeszów,(Podkarpackie)
Mercedes-Benz GLE,https://www.otomoto.pl/oferta/mercedes-benz-gle-2-0-350de-4matic-320km-advanced-plus-pakiet-night-ID6Dvsgn.html#b5edf8ab35,2020 ,1 km,1 950 cm3,Hybryda,369 800,PLN,Chorzów,(Śląskie)
Ford Focus 1.0,https://www.otomoto.pl/oferta/ford-focus-125km-polski-salon-gwarancja-aso-6-biegow-bezwypadkowy-ID6Dvsap.html#b5edf8ab35,2016 ,60 000 km,999 cm3,Benzyna,38 900,PLN,Wrocław,(Dolnośląskie)
Hyundai Tucson,https://www.otomoto.pl/oferta/hyundai-tucson-tucsongwarancja2020executive150km23-vatautomatokazja-ID6Dwaz5.html#b5edf8ab35,2020 ,10 km,1 598 cm3,Benzyna,139 000,PLN,Katowice,(Śląskie)
Mitsubishi Space Star 1.6,https://www.otomoto.pl/oferta/mitsubishi-space-star-klima-komputer-elekt-szyby-nowe-opony-ID6Du9gs.html#b5edf8ab35,2001 ,179 234 km,1 584 cm3,Benzyna,3 999,PLN,Rogów Opolski,(Opolskie)
BMW Seria 3,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-325-es-oryginal-nie-malowana-automat-piekna-zero-rdzy-ID6Dvsf4.html#cdadb68a15,1985 ,208 000 km,2 693 cm3,Benzyna,35 000,PLN,Karniewo,(Mazowieckie)
Opel Zafira 1.8,https://www.otomoto.pl/oferta/opel-zafira-1-8-125-km-klima-7-osobowa-stan-perfekcyjny-z-niemiec-polecam-ID6DvpnJ.html#cdadb68a15,2006 ,225 000 km,1 796 cm3,Benzyna,12 999,PLN,Swarzędz,(Wielkopolskie)
Toyota Auris Hybrid,https://www.otomoto.pl/oferta/toyota-auris-wersja-premium-comfort-safety-sense-ID6DtpdV.html#cdadb68a15,2017 ,48 585 km,1 798 cm3,Hybryda,69 500,PLN,Warszawa,(Mazowieckie)
Audi A4 2.7,https://www.otomoto.pl/oferta/audi-a4-audi-a4-b8-s-line-ID6Dv3yx.html#cdadb68a15,2008 ,250 230 km,2 698 cm3,Diesel,23 600,PLN,Mielec,(Podkarpackie)
Renault Clio 1.2,https://www.otomoto.pl/oferta/renault-clio-ID6Dv6Kr.html#cdadb68a15,2006 ,158 446 km,1 149 cm3,Benzyna,9 000,PLN,Wrocław,(Dolnośląskie)
Opel Insignia 1.8,https://www.otomoto.pl/oferta/opel-insignia-1-8i-140ps-led-bixenon-nawigacja-bezwypadkowy-ID6DwM10.html#cdadb68a15,2009 ,152 000 km,1 796 cm3,Benzyna,28 900,PLN,Zawiercie,(Śląskie)
Opel Meriva 1.7,https://www.otomoto.pl/oferta/opel-meriva-1-7-cdti-130-ps-cosmo-skora-bagaznik-na-rowery-panorama-pdc-ID6Do7TJ.html#cdadb68a15,2012 ,171 000 km,1 686 cm3,Diesel,21 900,PLN,Stargard Szczeciński,(Zachodniopomorskie)
Toyota 4-Runner,https://www.otomoto.pl/oferta/toyota-4-runner-4x4-v6-3-0-benzyna-ID6DtftM.html#cdadb68a15,1990 ,146 226 km,2 959 cm3,Benzyna,10 900,PLN,Kargowa,(Lubuskie)
Volkswagen T-Roc 1.5,https://www.otomoto.pl/oferta/volkswagen-t-roc-kamera-cofania-led-nawigacja-podgrzewane-fotele-dostawa-do-konca-2020-ID6DvrMb.html#cdadb68a15,2020 ,1 km,1 498 cm3,Benzyna,118 900,PLN,Zielona Góra,(Lubuskie)
BMW X4,https://www.otomoto.pl/oferta/bmw-x4-x4-xdrive-30i-m-sport-ID6DwM2v.html#cdadb68a15,2020 ,6 900 km,1 998 cm3,Benzyna,259 900,PLN,Falenty,(Mazowieckie)
Volvo XC 90,https://www.otomoto.pl/oferta/volvo-xc-90-t8-awd-inscription-7-os-dealer-drywa-volvo-vat-23-ID6DvseW.html#cdadb68a15,2019 ,23 424 km,1 969 cm3,Hybryda,294 999,PLN,Gdańsk,(Pomorskie)
Audi A6,https://www.otomoto.pl/oferta/audi-a6-ladne-audi-a6-1-9-tdi-131km-ID6DvseF.html#cdadb68a15,2003 ,292 000 km,1 899 cm3,Diesel,12 300,PLN,Olsztyn,(Warmińsko-mazurskie)
Renault Captur 1.5,https://www.otomoto.pl/oferta/renault-captur-renault-captur-niski-przebieg-serwisowany-bardzo-zadbany-ID6DtkzQ.html#cdadb68a15,2016 ,55 400 km,1 461 cm3,Diesel,38 900,PLN,Kraków,(Małopolskie)
BMW Seria 4 428i,https://www.otomoto.pl/oferta/bmw-seria-4-bmw-f32-428ix-m-pakiet-performance-mgmotorsport-ID6DwICh.html#cdadb68a15,2014 ,79 533 km,1 997 cm3,Benzyna,109 900,PLN,Zawady,(Śląskie)
Land Rover Range Rover Sport S,https://www.otomoto.pl/oferta/land-rover-range-rover-sport-svr-carbon-5-0-supercharged-551km-salon-polska-fv23-bicolor-22-tv-ID6CTQTq.html#cdadb68a15,2015 ,141 800 km,4 999 cm3,Benzyna,220 000,PLN,Wrocław,(Dolnośląskie)
Jeep Grand Cherokee Gr,https://www.otomoto.pl/oferta/jeep-grand-cherokee-krajowy-serwisowany-fv-marza-my-16-ID6Di1yS.html#cdadb68a15,2015 ,104 480 km,2 987 cm3,Diesel,104 900,PLN,Długołęka,(Dolnośląskie)
Ford Ranger 2.0,https://www.otomoto.pl/oferta/ford-ranger-raptor-213-km-automat-rocznik-2020-extra-cena-ID6DbHo6.html#cdadb68a15,2020 ,1 km,1 995 cm3,Diesel,224 965,PLN,Chorzów,(Śląskie)
Jaguar S-Type,https://www.otomoto.pl/oferta/jaguar-s-type-3-0-v6-238-km-automat-czarne-skory-duza-navi-alu-ID6AExPu.html#cdadb68a15,2003 ,270 000 km,2 998 cm3,Benzyna,9 999,PLN,Warszawa,(Mazowieckie)
Volvo V40 T3,https://www.otomoto.pl/oferta/volvo-v40-v40-t3-152-km-dynamic-edition-od-dealera-ID6DoqI3.html#cdadb68a15,2019 ,15 000 km,1 498 cm3,Benzyna,89 900,PLN,Poznań,(Wielkopolskie)
Honda Jazz 1.3,https://www.otomoto.pl/oferta/honda-jazz-automat-perfekcyjna-wzorowa-stan-jak-nowy-ID6Dvsey.html#cdadb68a15,2015 ,38 594 km,1 318 cm3,Benzyna,48 500,PLN,Warszawa,(Mazowieckie)
Ford Focus 1.5,https://www.otomoto.pl/oferta/ford-focus-trend-plus-1-5tdci-95km-salonpl-fv23-serwis-aso-1wl-gwarancja-ID6DpBVv.html#cdadb68a15,2015 ,138 000 km,1 498 cm3,Diesel,30 900,PLN,Sokołów,(Mazowieckie)
Škoda Yeti,https://www.otomoto.pl/oferta/skoda-yeti-ambition-2-0-tdi-110km-4x4-salon-pl-fv23-1wl-gwarancja-ID6DhoAj.html#cdadb68a15,2017 ,175 000 km,2 000 cm3,Diesel,47 900,PLN,Sokołów,(Mazowieckie)
Ford Focus 1.6,https://www.otomoto.pl/oferta/ford-focus-polski-salon-prywatnie-serwisowany-w-aso-nowy-rozrzad-ID6CC7fm.html#cdadb68a15,2014 ,169 000 km,1 560 cm3,Diesel,25 900,PLN,Nadarzyn,(Mazowieckie)
Škoda Fabia,https://www.otomoto.pl/oferta/skoda-fabia-salonpl-vat23-bluetooth-klimatyzacja-ID6DkYmZ.html#cdadb68a15,2015 ,129 630 km,1 400 cm3,Diesel,26 900,PLN,Gdańsk,(Pomorskie)
Opel Insignia 1.8,https://www.otomoto.pl/oferta/opel-insignia-2009r-z-niemiec-1-8ben-serwis-navi-bezwypadek-129tys-przebieg-ID6DvsdI.html#cdadb68a15,2009 ,129 559 km,1 796 cm3,Benzyna,26 970,PLN,Chodzież,(Wielkopolskie)
Škoda Octavia 1.6,https://www.otomoto.pl/oferta/skoda-octavia-fl-combi-1-6-tdi-115-km-ambition-amazing-salon-polska-serwisowany-ID6DvsdX.html#cdadb68a15,2017 ,90 200 km,1 598 cm3,Diesel,56 999,PLN,Wrocław,(Dolnośląskie)
Mazda 6 Kombi,https://www.otomoto.pl/oferta/mazda-6-skyactiv-d-2-2-faktura-vat-23-oferta-prywatna-bezwypadkowy-ID6DpaNf.html#cdadb68a15,2014 ,198 600 km,2 191 cm3,Diesel,41 555,PLN,Siemianowice Śląskie,(Śląskie)
Audi A6 C7,https://www.otomoto.pl/oferta/audi-a6-bose-panorama-active-line-assist-ID6DvsdM.html#cdadb68a15,2013 ,194 000 km,1 997 cm3,Diesel,60 500,PLN,Wąsosz,(Dolnośląskie)
BMW Seria 3 325i,https://www.otomoto.pl/oferta/bmw-seria-3-e92-m-pakiet-bi-xenon-skretne-navi-serwisowana-przebieg-158-tys-ID6DwF3K.html#cdadb68a15,2010 ,157 855 km,2 996 cm3,Benzyna,42 900,PLN,Siedlce,(Mazowieckie)
Škoda Octavia 1.5,https://www.otomoto.pl/oferta/skoda-octavia-1-5-150km-salon-pl-serwis-aso-ID6DuKt8.html#cdadb68a15,2018 ,42 000 km,1 498 cm3,Benzyna,72 000,PLN,Warszawa,(Mazowieckie)
Volkswagen Phaeton,https://www.otomoto.pl/oferta/volkswagen-phaeton-wersja-long-najladniejszy-3-0-v6-4matic-model-2011r-lift-okazja-ID6Ds4eB.html#cdadb68a15,2011 ,231 000 km,2 967 cm3,Diesel,48 700,PLN,Wrocław,(Dolnośląskie)
Toyota Land Cruiser HDJ80,https://www.otomoto.pl/oferta/toyota-land-cruiser-toyota-hdj80-wyprawowa-ID6DwM0l.html#cdadb68a15,1998 ,307 035 km,4 164 cm3,Diesel,86 100,PLN,Poznań,(Wielkopolskie)
Volkswagen Transporter,https://www.otomoto.pl/oferta/volkswagen-transporter-vw-transporter-t4-2-5-tdi-ID6DwM0F.html#16f95d2916,1998 ,431 000 km,,Diesel,13 900,PLN,Kraków,(Małopolskie)
Dacia Duster,https://www.otomoto.pl/oferta/dacia-duster-prestige-1-0-tce-100km-lpg-klimatyzacja-automatyczna-od-reki-ID6Dvsdi.html#16f95d2916,2020 ,1 km,999 cm3,Benzyna+LPG,64 400,PLN,Chorzów,(Śląskie)
Hyundai Santa Fe 2.2,https://www.otomoto.pl/oferta/hyundai-santa-fe-2-2crdi-155km-4x4-executive-salon-polska-2wl-ID6Dtsal.html#16f95d2916,2007 ,268 900 km,2 188 cm3,Diesel,24 700,PLN,Elbląg,(Warmińsko-mazurskie)
Dacia Sandero,https://www.otomoto.pl/oferta/dacia-sandero-stepway-laureate-1-0-tce-100km-lpg-czujniki-tylne-parkowania-kamera-ID6Dvsdy.html#16f95d2916,2020 ,1 km,999 cm3,Benzyna+LPG,52 800,PLN,Chorzów,(Śląskie)
Volkswagen Tiguan,https://www.otomoto.pl/oferta/volkswagen-tiguan-2-0-tdi-140km218000km-1wl-niemcyfullnavikameratuvjak-z-fabryki-ID6Dpol4.html#16f95d2916,2013 ,218 000 km,2 000 cm3,Diesel,54 900,PLN,Bogoria Skotnicka,(Świętokrzyskie)
Volvo S40 2.0D,https://www.otomoto.pl/oferta/volvo-s40-volvo-s40-ID6Dwal3.html#16f95d2916,2010 ,143 233 km,1 998 cm3,Diesel,23 985,PLN,Warszawa,(Mazowieckie)
Renault Clio,https://www.otomoto.pl/oferta/renault-clio-limited-0-9-tce-90km-fap-klimatyzacja-automatyczna-czujniki-cofania-ID6Dwaoy.html#16f95d2916,2020 ,1 km,898 cm3,Benzyna,56 250,PLN,Chorzów,(Śląskie)
Ford Kuga 2.0,https://www.otomoto.pl/oferta/ford-kuga-2-0tdci-titanium-video-skora-navi-bi-xenony-ledy-3d-f-vat-23-arkos-ID6DwyXi.html#16f95d2916,2015 ,108 158 km,1 997 cm3,Diesel,62 900,PLN,Elbląg,(Warmińsko-mazurskie)
Ford Fiesta,https://www.otomoto.pl/oferta/ford-fiesta-1-3b1wl-z-niemiec116tkm100-oryginalklimajak-z-fabryki-ID6DkAwE.html#16f95d2916,2010 ,116 000 km,1 300 cm3,Benzyna,19 900,PLN,Bogoria Skotnicka,(Świętokrzyskie)
Ford Transit Custom,https://www.otomoto.pl/oferta/ford-transit-custom-mca-126km-trend-kombi-l1-automat-hybryda-pakiet-premium-ID6DvscD.html#16f95d2916,2020 ,1 km,1 000 cm3,Hybryda,208 483,PLN,Chorzów,(Śląskie)
Audi A4 1.4,https://www.otomoto.pl/oferta/audi-a4-a4-1-4-tfsi-sport-ubezpieczenie-i-pakiet-serwisowy-za-1-zl-ID6Dm1kw.html#16f95d2916,2017 ,70 103 km,1 395 cm3,Benzyna,94 000,PLN,Bydgoszcz,(Kujawsko-pomorskie)
Volkswagen Passat 2.0,https://www.otomoto.pl/oferta/volkswagen-passat-vw-passat-b6-2-0-tdi-dsg-highline-ID6DtmPo.html#16f95d2916,2010 ,232 000 km,1 968 cm3,Diesel,26 900,PLN,Ząbkowice Śląskie,(Dolnośląskie)
Renault Scenic 1.2,https://www.otomoto.pl/oferta/renault-scenic-igla-full-opc-masaz-1-wlas-100-bezwypadkowy-salon-pl-niski-przebieg-ID6Dipuu.html#16f95d2916,2017 ,27 542 km,1 197 cm3,Benzyna,74 500,PLN,Jastrzębie-Zdrój,(Śląskie)
BMW X2,https://www.otomoto.pl/oferta/bmw-x2-xdrive-231km-bezwypadkowy-pelna-fv23-cena-brutto-ID6CUURB.html#16f95d2916,2018 ,19 500 km,1 998 cm3,Benzyna,125 000,PLN,Będzin,(Śląskie)
Seat Leon,https://www.otomoto.pl/oferta/seat-leon-reference-2019r-1-0-tsi-85-km-krajowy-i-wlasciciel-fv23-ID6DuD2y.html#16f95d2916,2019 ,48 313 km,999 cm3,Benzyna,46 900,PLN,Katowice,(Śląskie)
Renault Talisman 1.6,https://www.otomoto.pl/oferta/renault-talisman-tce-200km-1wl-salon-pl-gwarancja-2022-vat23-dealer-renault-adamowscy-ID6Dv5xA.html#16f95d2916,2017 ,74 000 km,1 618 cm3,Benzyna,89 900,PLN,Starogard Gdański,(Pomorskie)
Volkswagen Golf VI,https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-gti-2-0-dsg-210km-import-dubaj-full-opcja-alu-18-faktura-vat-ID6DwmzA.html#16f95d2916,2012 ,209 000 km,1 984 cm3,Benzyna,44 900,PLN,Wałbrzych,(Dolnośląskie)
Opel Insignia,https://www.otomoto.pl/oferta/opel-insignia-1-8-benzyna-super-stan-z-niemiec-ID6Dta9n.html#16f95d2916,2011 ,168 236 km,1 800 cm3,Benzyna,29 900,PLN,Elbląg,(Warmińsko-mazurskie)
Nissan Qashqai 1.3,https://www.otomoto.pl/oferta/nissan-qashqai-2019-n-motion-1-3-l-140-km-prawie-jak-tekna-ID6D5YrU.html#16f95d2916,2019 ,15 200 km,1 332 cm3,Benzyna,84 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan X-Trail 1.7,https://www.otomoto.pl/oferta/nissan-x-trail-1-7-dci-150-km-340-nm-4x4-automat-tekna-2019-ID6D4rz3.html#16f95d2916,2019 ,20 370 km,1 749 cm3,Diesel,119 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Qashqai 1.3,https://www.otomoto.pl/oferta/nissan-qashqai-160-km-7-dct-automat-n-connecta-pakiet-styl-pakiet-zimowy-2019-ID6Da6PV.html#16f95d2916,2019 ,25 950 km,1 332 cm3,Benzyna,94 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Qashqai 1.3,https://www.otomoto.pl/oferta/nissan-qashqai-2019-n-motion-1-3-l-140-km-prawie-jak-tekna-ID6D5YqJ.html#16f95d2916,2019 ,16 910 km,1 332 cm3,Benzyna,84 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Juke 1.0,https://www.otomoto.pl/oferta/nissan-juke-nconnecta-felgi-19-pakiet-zimowy-dostepny-od-reki-ID6CUSpz.html#16f95d2916,2020 ,1 km,999 cm3,Benzyna,83 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Qashqai 1.3,https://www.otomoto.pl/oferta/nissan-qashqai-1-3-dig-t-160-km-automat-n-connecta-pakiet-styl-2019-ID6Duyfb.html#16f95d2916,2019 ,29 070 km,1 332 cm3,Benzyna,93 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Juke 1.0,https://www.otomoto.pl/oferta/nissan-juke-acenta-pakiet-komfortowy-pakiet-design-dostepny-od-reki-ID6CUSyK.html#16f95d2916,2020 ,1 km,999 cm3,Benzyna,74 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Juke 1.0,https://www.otomoto.pl/oferta/nissan-juke-117-km-nconnecta-dwukolorowe-nadwozie-dostepny-od-reki-2020-ID6CULhI.html#16f95d2916,2020 ,1 km,999 cm3,Benzyna,82 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Qashqai 1.3,https://www.otomoto.pl/oferta/nissan-qashqai-1-3-dig-t-160-km-automat-n-connecta-pakiet-styl-pakiet-zimowy-ID6Duyd5.html#16f95d2916,2019 ,26 570 km,1 332 cm3,Benzyna,94 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan X-Trail 1.7,https://www.otomoto.pl/oferta/nissan-x-trail-1-7-dci-150-km-340-nm-tekna-4x4-automat-2019-ID6Dut62.html#16f95d2916,2019 ,25 160 km,1 749 cm3,Diesel,119 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Qashqai 1.5,https://www.otomoto.pl/oferta/nissan-qashqai-1-5-dci-ID6DuVTy.html#16f95d2916,2010 ,137 192 km,1 461 cm3,Diesel,31 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan X-Trail 1.7,https://www.otomoto.pl/oferta/nissan-x-trail-1-7-dci-150-km-340-nm-tekna-4x4-automat-2019-ID6Dut0w.html#16f95d2916,2019 ,28 140 km,1 749 cm3,Diesel,119 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Leaf 40kWh,https://www.otomoto.pl/oferta/nissan-leaf-acenta-ladowarka-domowa-za-1-zl-ID6DiWvd.html#16f95d2916,2019 ,1 km,,Elektryczny,116 450,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan X-Trail 1.7,https://www.otomoto.pl/oferta/nissan-x-trail-tekna-1-7-dci-4x4-xtronic-2019-ID6DmbN3.html#16f95d2916,2019 ,28 600 km,1 749 cm3,Diesel,119 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Micra 1.0,https://www.otomoto.pl/oferta/nissan-micra-n-tec-pakiet-zimowy-100-km-demo-ID6DrvC9.html#7f298a878a,2020 ,399 km,999 cm3,Benzyna,61 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Qashqai 1.3,https://www.otomoto.pl/oferta/nissan-qashqai-n-connecta-pakiet-styl-pakiet-zimowy-1-3-l-140-km-240-nm-2020-r-ID6DfwAl.html#7f298a878a,2020 ,1 km,1 332 cm3,Benzyna,91 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
